id,中文名称【所有用到道具名称的地方都是读这里】,插件用【作为插件json文件的名称，不能有空格】,家园图鉴解锁需要的碎片数量,"道具类型【会影响道具的功能，无0，方块1，杂物2，工具3，一组物品4，怪物5，帐号物品6，弓7，投掷8，装备9，枪械10，食物11，12工具+投掷物，13工具+食物，14方块+食物，16机械，17地图通行证，18乐器，19喷漆贴图，20气泡，21武器皮肤，22播报，23称号，24特长碎片,25头像，26动作，27心情框，28背景】",描述中的解锁途径-String表ID,类型描述-String表ID,描述【所有道具tips等用到道具描述的地方，都是读的这里】,获取方式(工匠台和冶炼台的内容可读取并显示在tips上，无需写在这里了),冒险背包最大堆叠数目/做了防作弊的处理，获得超过这个数量会宕机
11222,熔岩之心宝石,LavaGem,,"2",,100019,使用@item_800#制作@item_12210#的材料之一。,打败熔岩黑龙后，破坏龙巢中的罐子。,1
11223,一捆玉米,ABundleofCorn,,"2",,100019,使用@item_800#制作@item_11217#的材料之一。#r击败远古黑龙后在@item_800#解锁制作。,,64
11224,一叠皮革,APileofLeather,,"2",,100019,使用@item_800#制作@item_11219#的材料之一。#r击败熔岩黑龙后在@item_800#解锁制作。,,64
11225,地心传送门碎片,TransferShard,,,,100019,受到虚空入侵的影响，该道具的存在已经从迷拉星的历史中消失了……,,64
11226,植物纤维,ABundleofWeeds,,"2",,,最基础的植物纤维，韧性却极强，可以用来制作@item_11227#和@item_298#。#r手持点击@item_101#，可以转换成@item_100#。,,64
11227,绳子,GlassRope,,"2",,,制作#c0aba1d围栏#n或一些武器的原料之一,,64
11228,花冠,Wreath,,"9",,,戴在头上花香四溢，很容易获得昆虫的青睐，但由于是花朵制成，非常脆弱，无法作为一般防具使用。,在背包中消耗任意三朵花制作而成,1
11229,笋尖串串香,EarthenShootsSkewers,,"11",,,香喷喷，令人垂涎欲滴。,需使用@item_794#进行烹饪,64
11230,尖尖碰碰锤,CactusHammer,,"3",,,木棒上梆着仙人掌，被锤到一定会血流不止，谨慎使用！,,1
11231,聚物手套,cohesionGlove,,"0",,100001,拿在手上就能推雪球了。#r无球状态下#c0aba1d右键#n点击@item_115#就能生成雪球，只要碰到雪球就能推着走。#r有球状态下可以按住#c0aba1d左键#n蓄力将雪球推出，当两个雪球碰在一起时就能堆成雪人了！,,1
11232,陨魔假面,LeatherHelmet,,"9",,100006,冰陨巨魔残余的力量在假面中蠢蠢欲动……#r佩戴时能够降低周围的温度，使周围的液体方块快速凝结，甚至能在周围下起雪来！,击败冰陨巨魔获得,1
11233,远古号角,AncentHorn,,"2",,100019,对@item_765#使用，可以解除封印，召唤远古黑龙。,击败远古黑龙后在@item_800#解锁制作。,1
11302,兽骨,AnimalBone,,"2",,100008,@item_11591#的加工材料。,食用奇怪的肘子后获得。#r击败野人有几率掉落奇怪的肘子。,64
11303,细羽毛,Feather,,"2",,100019,使用@item_800#制作@item_12051#的材料之一。,击败#c0aba1d鸟纲类#n动物有几率掉落。,64
11304,火石,Flint1,,"2",,,似乎并没有什么用,商人有时会出售。,64
11305,石英砂,QuartzSand,,"2",,100019,在冶炼台中可以烧炼出@item_632#。,,64
11306,不稳定化合物,UnstableCompound,,"2",,100019,@item_11201#混合了罕见的@item_128#之后变得十分不稳定，是制作各种爆炸道具的关键原料。,,64
11307,软皮革,Leather,,"2",,100019,使用@item_800#制作书和各种皮制品的材料之一。,击败沃沃兽、狐狸等动物有几率掉落。,64
11308,游戏版本过低,,,"2",,,,,64
11309,软皮革布,LeatherCloth,,"2",,100019,使用@item_800#制作@item_12205#的材料。,,64
11310,焦油,Tar,,"2",,100019,使用@item_800#制作@item_1008#和机械方块的材料之一。,打开地牢宝箱或击败熔岩巨人有几率掉落。,64
11311,便便,Fertilizer,,"2",,100020,对#c0aba1d生长中的植物#n使用，可以促进其生长。,用@item_236#喂墩墩后，一定几率产出。,64
11312,空心竹竿,HollowBamboo,,"2",,100019,使用@item_800#制作@item_12288#的材料之一。,喂食熊猫@item_251#有几率掉落。,64
11313,蜂刺,Stinger,,"2",,100019,使用@item_800#制作@item_12289#的材料之一。,击败蜜蜂获得。,64
11314,简易木碗,Bowl,,"2",,100019,使用@item_800#制作部分食物的材料之一。,,64
11315,地心之眼,EyeOfTheEarthCore,,,,100001,受到虚空入侵的影响，地心的联系中断了……,,64
11316,游戏版本过低,,,"2",,,用于酿造药水。,,64
11317,游戏版本过低,,,"2",,,快去下载最新的游戏版本吧！,,64
11318,荧光晶体,FluorescentCrystal,,"2",,100019,使用@item_800#制作@item_550#和部分灯具的材料之一。,在水中击败灯笼鱼有几率掉落。,64
11319,鱼鳃,MantaGill,,"2",,100019,在锅中制作@item_12716#的材料之一。,在水中击败鳐鱼有几率掉落。,64
11320,小玻璃瓶,SmallGlassBottle,,"1",,100001,对水或者蜂蜜使用，可以装起来。#r对#c0aba1d萤火虫#n使用，可以对其进行#c0aba1d捕捉#n。#r对#c0aba1d产奶状态的角鹿或牦牛#n使用，可获得@item_12509#。#r加工各种药剂和颜料瓶的材料之一。#r可以将@item_11806#放进去变成@item_12720#。,,64
11321,巨鳞羽果汁,GiantScalyFruitJuice,,"2",,100007,#c0aba1d食用#n后#r#c0aba1d降低25%受到的火焰伤害#n，持续180秒。,,64
11322,纸张,Scroll,,"2",,100019,古法工艺制作的纸张。,,64
11323,木料,Wood,,"2",,100019,伐木得到的木料，是制作工具的好材料。,,64
11324,探测器,Detector,,"2",,,,,64
11326,瓶装果糖浆,BottledFructose,,"11",,100007,#c0aba1d食用#n后持续恢复一小段时间生命#r炼制出浓郁的果糖浆后，完美地密封在了玻璃瓶中，是迷拉星最常见的糖分来源。,,64
11327,福球,FortuneBall,,"2",,100019,对逃跑状态的#c0aba1d年兽#n使用，一定几率可以将其#c0aba1d驯服#n。#r使用@item_800#制作年兽蛋的材料之一。,春节活动期间，击败福球怪有几率掉落。,64
11328,游戏版本过低,,,"0",,,快去下载最新的游戏版本吧！,,64
11329,黄铜,Brass,,"2",,100019,用于制作黄铜工具和装备,开采@item_451#获得。,64
11330,钛合金,Titanium,,"2",,100019,用于制作钛合金工具和装备,,64
11331,星站能源核心,StarStationEnergyCore,,"2",,100019,蕴藏着创造之力的能源方块；#r手持能源核心，点击@item_594#，即可激活一个星站系统,,64
11332,黄铜棍,BrassStick,,"2",,100019,使用@item_800#制造各式工具。#r能够制作围栏。,,64
11333,三角门残片,TrianglePortalShard,,"0",,100019,从三角门中掉落的残片，右键使用，可传送至当前星球已激活的星站#r三角门是来自虚空的未知力量，虚空使者曾通过三角门，暴力闯入了迷你宇宙的星链网络，以此在宇宙中四处掠夺,,64
11334,智能芯片,SmartChip,,"0",,100019,@item_597#的核心部件，可用于加工传送舱升级元件；#r通过@item_597#，可前往更遥远的星球,,64
11335,升级元件A型,UpgradePartA-Type,,"2",,100019,手持升级元件，右键点击@item_595#，可将其升级为@item_597##r乘坐@item_597#，可以前往迷拉星的邻星,,64
11336,游戏版本过低,,,"0",,,快去下载最新的游戏版本吧！,,64
11337,游戏版本过低,,,"0",,,快去下载最新的游戏版本吧！,,64
11400,玉米的种子,CornSeed,,"2",,100009,#c0aba1d种植#n在@item_102#上，一段时间后会长出@item_229#。,可以从@item_229#中制取。,64
11401,巨布鲁果种子,GiantBlueFruitSeed,,"2",,100009,#c0aba1d种植#n在@item_102#上能长出根茎，一段时间后根茎会长成@item_230#，也可以使用@item_11311#加速生长。,,64
11402,巨鳞羽果种子,GiantScalyFruitSeed,,"2",,100009,#c0aba1d种植#n在@item_102#上能长出根茎，一段时间后根茎会长成@item_239#，也可以使用@item_11311#加速生长。,,64
11403,红杉果,BallBean,,"2",,100009,#c0aba1d食用#n后恢复15生命值。#r可种植在红杉树叶上。#r#c0aba1d喂食#n已驯服的企鹅，可以使其进入#c0aba1d繁殖#n状态。,破坏陶罐和打开地牢宝箱均有几率掉落。,64
11404,水稻的种子,RiceSeed,,"2",,100009,#c0aba1d种植#n在在底部为@item_101#或@item_29#，且高度为一格的水面上，一段时间后会长出水稻。,收割水稻时获得。,64
11405,樱桃树种子,CherrySeed,,"1",,100009,种到@item_103#上，可以成长为樱桃树。,,64
11406,落叶松树种子,PineTreeSeed,,"1",,100009,种到@item_103#上，可以成长为落叶松树。,,64
11407,乔木种子,ArborTreeSeed,,"1",,100009,种到@item_103#上，可以成长为雨林乔木。,,64
11408,珍木种子,RareTreeSeed,,"1",,100009,种到@item_137#上，可以成长为珍木。,,64
11409,桃树种子,PeachTreeSeed,,"1",,100009,种到@item_103#上，可以成长为桃花树。,,64
11410,白杨种子,PoplarTreeSeed,,"1",,100009,种到@item_103#上，可以成长为白杨树。,,64
11411,核桃木种子,WalnutSeed,,"1",,100009,种到@item_103#上，可以成长为核桃树。,,64
11412,红杉树种子,CedarTreeSeed,,"1",,100009,种到@item_103#上，可以成长为红杉树。,,64
11413,楠木种子,,,"1",,100009,种到@item_103#上，可以成长为楠木。,,64
11418,游戏版本过低,,,"0",,,快去下载最新的游戏版本吧！,,64
11419,棉花树种子,CottonSeed,,"1",,100009,种到@item_102#上，可以成长为棉花树,,64
11420,仙人掌种子,CactusSeed,,"2",,100009,充满希望的种子，种下后可以成长为仙人掌。,,64
11421,胡杨种子,PopuluseuphraticaSeed,,"2",,100009,充满希望的种子，种到@item_103#中后可以成长为#c0aba1d胡杨树#n。,,64
11422,巨大椰叶,,,"2",,,这么大一片叶子，做为#c0aba1d燃料#n使用的话似乎可以烧很久。,,64
11423,异化巨大椰叶,,,"2",,,受红土影响整个叶片的颜色都发生了巨大变化，内部积聚了大量的不稳定物质，做为#c0aba1d燃料#n使用的话似乎可以烧的更久了。,,64
11424,椰子炮弹,CoconutBoom,,"8",,,海盗们把不稳定化合物灌进椰子里制成的土法炮弹，威力还不小。,使用@item_800#加工获得,64
11500,象牙白颜料瓶,WhiteDye,,"2",,100019,最基础颜色之一，成本相对高昂，但是想要混合出浅色调的颜料，白色必不可少，可用于染色。,使用@item_800#加工获得,64
11501,朱砂橙颜料瓶,OrangeDye,,"2",,100019,由红颜料与黄颜料在@item_498#中调和而成，可用于染色。,使用@item_11320#装取@item_498#上的颜料获得\n使用@item_800#加工获得,64
11502,胭脂红颜料瓶,RedPurpleDye,,"2",,100019,由红颜料与紫颜料在@item_498#中调和而成，可用于染色。,使用@item_11320#装取@item_498#上的颜料获得,64
11503,天青蓝颜料瓶,LightBlueDye,,"2",,100019,由白颜料与蓝颜料在@item_498#中调和而成，可用于染色。,使用@item_11320#装取@item_498#上的颜料获得\n使用@item_800#加工获得,64
11504,鹅毛黄颜料瓶,YellowDye,,"2",,100019,最基础颜色之一，能使调和的颜料往黄色方向偏，可用于染色。,使用@item_800#加工获得,64
11505,松花绿颜料瓶,LightGreenDye,,"2",,100019,由白颜料与绿颜料在@item_498#中调和而成，可用于染色。,使用@item_11320#装取@item_498#上的颜料获得\n使用@item_800#加工获得,64
11506,海棠红颜料瓶,LightRedDye,,"2",,100019,由白颜料与红颜料在@item_498#中调和而成，可用于染色。,使用@item_11320#装取@item_498#上的颜料获得,64
11507,苍石灰颜料瓶,GreyDye,,"2",,100019,由白颜料与黑颜料在@item_498#中调和而成，可用于染色。,使用@item_11320#装取@item_498#上的颜料获得,64
11508,浅苍灰颜料瓶,LightGreyDye,,"2",,100019,由白颜料与灰颜料在@item_498#中调和而成，可用于染色。,使用@item_11320#装取@item_498#上的颜料获得,64
11509,青碧绿颜料瓶,BlueGreenDye,,"2",,100019,由蓝颜料与绿颜料在@item_498#中调和而成，可用于染色。,使用@item_11320#装取@item_498#上的颜料获得\n使用@item_800#加工获得,64
11510,青莲紫颜料瓶,PurpleDye,,"2",,100019,由红颜料与蓝颜料在@item_498#中调和而成，可用于染色。,使用@item_11320#装取@item_498#上的颜料获得\n使用@item_800#加工获得,64
11511,缠丝玛瑙,Kyanite,,"2",,100019,很多高级道具的制作材料。,开采@item_403#获得。,64
11512,深栗红颜料瓶,DeepRedDye,,"2",,100019,由红颜料与黑颜料在@item_498#中调和而成，可用于染色。,使用@item_11320#装取@item_498#上的颜料获得,64
11513,翡翠绿颜料瓶,GreenDye,,"2",,100019,由黄颜料与蓝颜料在@item_498#中调和而成，可用于染色。,使用@item_11320#装取@item_498#上的颜料获得\n使用@item_800#加工获得,64
11514,赫赤红颜料瓶,RedDye,,"2",,100019,最基础颜色之一，能使调和的颜料往红色方向偏，可用于染色。,使用@item_800#加工获得,64
11515,煤乌黑颜料瓶,BlackDye,,"2",,100019,由红颜料、黄颜料与蓝颜料在@item_498#中调和而成，可用于染色。,破坏陶罐有几率掉落。,64
11516,游戏版本过低,,,,,,快去下载最新的游戏版本吧！,,64
11517,游戏版本过低,,,,,,快去下载最新的游戏版本吧！,,64
11518,游戏版本过低,,,,,,快去下载最新的游戏版本吧！,,64
11519,游戏版本过低,,,,,,快去下载最新的游戏版本吧！,,64
11520,游戏版本过低,,,,,,快去下载最新的游戏版本吧！,,64
11521,游戏版本过低,,,,,,快去下载最新的游戏版本吧！,,64
11522,游戏版本过低,,,,,,快去下载最新的游戏版本吧！,,64
11523,游戏版本过低,,,,,,快去下载最新的游戏版本吧！,,64
11524,游戏版本过低,,,,,,快去下载最新的游戏版本吧！,,64
11525,游戏版本过低,,,,,,快去下载最新的游戏版本吧！,,64
11526,游戏版本过低,,,,,,快去下载最新的游戏版本吧！,,64
11527,游戏版本过低,,,,,,使用钛金创造锤中制作缠丝玛瑙披风的原料之一。,,64
11528,游戏版本过低,,,,,,快去下载最新的游戏版本吧！,,64
11529,游戏版本过低,,,,,,快去下载最新的游戏版本吧！,,64
11530,游戏版本过低,,,,,,快去下载最新的游戏版本吧！,,64
11531,游戏版本过低,,,,,,快去下载最新的游戏版本吧！,,64
11532,宝石蓝颜料瓶,BlueDye,,"2",,,最基础颜色之一，能使调和的颜料往蓝色方向偏，可用于染色。,使用@item_800#加工获得,64
11533,钛粉,TitaniumDioxide,,"2",,,制作@item_11500#的原料，需要通过钛合金制取。,使用@item_800#加工获得,64
11534,草饲料,GrassFeed,,"0",,,需要将饲料放置饲料槽上，草食性或杂食性动物食用后能够#c0aba1d成长、繁殖或恢复生命#n。可吸引草食性或杂食性动物。,,64
11535,肉饲料,MeatFeed,,"0",,,需要将饲料放置饲料槽上，肉食性或杂食性动物食用后能够#c0aba1d成长、繁殖或恢复生命#n。可吸引肉食性或杂食性动物。,,64
11536,落日橙颜料瓶,RedOrangeDye,,"2",,,由红颜料与橙颜料在@item_498#中调和而成，可用于染色。,使用@item_11320#装取@item_498#上的颜料获得,64
11537,秋叶橙颜料瓶,YellowOrangeDye,,"2",,,由黄颜料与橙颜料在@item_498#中调和而成，可用于染色。,使用@item_11320#装取@item_498#上的颜料获得\n使用@item_800#加工获得,64
11538,花青紫颜料瓶,BluePurpleDye,,"2",,,由蓝颜料与紫颜料在@item_498#中调和而成，可用于染色。,使用@item_11320#装取@item_498#上的颜料获得\n使用@item_800#加工获得,64
11539,杨柳绿颜料瓶,YellowGreenDye,,"2",,,由黄颜料与绿颜料在@item_498#中调和而成，可用于染色。,使用@item_11320#装取@item_498#上的颜料获得\n使用@item_800#加工获得,64
11540,柠檬黄颜料瓶,LightYellowDye,,"2",,,由黄颜料与白颜料在@item_498#中调和而成，可用于染色。,使用@item_11320#装取@item_498#上的颜料获得\n使用@item_800#加工获得,64
11541,肉桂橙颜料瓶,LightOrangeDye,,"2",,,由橙颜料与白颜料在@item_498#中调和而成，可用于染色。,使用@item_11320#装取@item_498#上的颜料获得\n使用@item_800#加工获得,64
11542,丁香紫颜料瓶,LightPurpleDye,,"2",,,由紫颜料与白颜料在@item_498#中调和而成，可用于染色。,使用@item_11320#装取@item_498#上的颜料获得\n使用@item_800#加工获得,64
11543,琥珀黄颜料瓶,DeepYellowDye,,"2",,,由黄颜料与黑颜料在@item_498#中调和而成，可用于染色。,使用@item_11320#装取@item_498#上的颜料获得,64
11544,藏青蓝颜料瓶,DeepBlueDye,,"2",,,由蓝颜料与黑颜料在@item_498#中调和而成，可用于染色。,使用@item_11320#装取@item_498#上的颜料获得,64
11545,焦糖橙颜料瓶,DeepOrangeDye,,"2",,,由橙颜料与黑颜料在@item_498#中调和而成，可用于染色。,使用@item_11320#装取@item_498#上的颜料获得,64
11546,玄黛紫颜料瓶,DeepPurpleDye,,"2",,,由紫颜料与黑颜料在@item_498#中调和而成，可用于染色。,使用@item_11320#装取@item_498#上的颜料获得,64
11547,竹青绿颜料瓶,DeepGreenDye,,"2",,,由绿颜料与黑颜料在@item_498#中调和而成，可用于染色。,使用@item_11320#装取@item_498#上的颜料获得,64
11551,破坏方块,DestoryBlock,,"8",,,,,64
11552,放置方块,PlaceBlock,,"8",,,,,64
11553,替换方块,ReplaceBlock,,"8",,,,,64
11554,攻击,Attack,,"8",,,,,64
11555,击飞,Launch,,"8",,,,,64
11556,召唤,Summon,,"8",,,,,64
11557,加状态,Buff,,"8",,,,,64
11558,发射投掷物,Projectile,,"8",,,,,64
11559,治疗,Heal,,"8",,,,,64
11560,破坏方块（投掷）,Destoryblock(Throw),,"7",,,,,1
11561,替换方块（投掷）,,,"7",,,,,1
11562,放置方块（投掷）,,,"7",,,,,1
11563,攻击（投掷）,,,"7",,,,,1
11564,击飞（投掷）,,,"7",,,,,1
11565,召唤（投掷）,,,"7",,,,,1
11566,加状态（投掷）,,,"7",,,,,1
11567,发射投掷物（投掷）,,,"7",,,,,1
11568,治疗（投掷）,,,"7",,,,,1
11569,杖杆,WoodenStaff,,"3",,,结实的乔木法杖，可以与晶核结合，制成强力的法杖,,1
